poet,title,dynasty,year_start,year_end,historical_place,modern_city,province,lon,lat,source_name,source_url,source_note,fact_grade,status
杜甫,闻官军收河南河北,唐,763,763,梓州,绵阳市三台县,四川省,105.101082,31.101709,古籍文献知识图谱开放API（据人民文学出版社《杜甫全集校注》）,https://open.cnkgraph.com/api/Writing/31013,API年谱条目标注763年在梓州闻收复河南河北而作。,B,approved
白居易,夜雪,唐,816,816,江州,九江市,江西省,116.007993,29.711328,古籍文献知识图谱开放API（据朱金城《白居易年谱》）,https://open.cnkgraph.com/api/Writing/14745,API年谱条目标注816年在江州赏夜雪而作。,B,approved
白居易,大林寺桃花,唐,817,817,庐山大林寺,九江市,江西省,115.718453,29.349474,古籍文献知识图谱开放API（据朱金城《白居易年谱》）,https://open.cnkgraph.com/api/Writing/12410,API年谱条目标注817年游庐山大林寺赏桃花作诗。,B,approved
白居易,琵琶行,唐,816,816,江州湓浦口,九江市,江西省,116.007993,29.711328,古籍文献知识图谱开放API（据朱金城《白居易年谱》及作品序）,https://open.cnkgraph.com/api/Writing/15104,API年谱条目标注816年秋在江州送客湓浦口后作《琵琶行》。,A,approved
白居易,观刈麦,唐,807,807,盩厔,西安市周至县,陕西省,108.228551,34.169587,古籍文献知识图谱开放API（据朱金城《白居易年谱》）,https://open.cnkgraph.com/api/Writing/14587,API年谱条目标注807年任盩厔县尉期间观刈麦作诗。,B,approved
白居易,长恨歌,唐,806,806,盩厔仙游寺,西安市周至县,陕西省,108.228551,34.169587,古籍文献知识图谱开放API（据朱金城《白居易年谱》）,https://open.cnkgraph.com/api/Writing/14415,API年谱条目标注806年十二月与陈鸿和王质夫游仙游寺后作诗。,B,approved
李清照,一剪梅·红藕香残玉簟秋,宋,1103,1103,东京开封府,河南省开封市,河南省,114.307581,34.797239,cnkgraph 唐宋文学编年地图·李清照年历（据徐培均《李清照年谱》）,https://cnkgraph.com/Map/PoetLife?author=%E6%9D%8E%E6%B8%85%E7%85%A7,开封（1090年 - 1107年3月，7-24岁，作品：15）；1103年7月，赵明诚出游。有词送别，作品：《一剪梅》,B,approved
李清照,凤凰台上忆吹箫·香冷金猊,宋,1109,1109,益都（青州）,山东省青州市,山东省,118.479636,36.6846,cnkgraph 唐宋文学编年地图·李清照年历（据徐培均《李清照年谱》）,https://cnkgraph.com/Map/PoetLife?author=%E6%9D%8E%E6%B8%85%E7%85%A7,益都（1108年 - 1121年，25-38岁，作品：13）；1109年9月13日，赵明诚出游，有词抒思念之情，作品：《凤凰台上忆吹箫》,B,approved
李清照,声声慢·寻寻觅觅,宋,1147,1147,临安,浙江省杭州市,浙江省,120.1551,30.2741,cnkgraph 唐宋文学编年地图·李清照年历（据徐培均《李清照年谱》）,https://cnkgraph.com/Map/PoetLife?author=%E6%9D%8E%E6%B8%85%E7%85%A7,1147年，居临安。有词《声声慢》写国破家亡晚年孀居之惨戚，作品：《声声慢》,B,approved
李清照,蝶恋花·晚止昌乐馆寄姊妹,宋,1121,1121,昌乐,山东省昌乐县,山东省,118.829992,36.706774,cnkgraph 唐宋文学编年地图·李清照年历（据徐培均《李清照年谱》）,https://cnkgraph.com/Map/PoetLife?author=%E6%9D%8E%E6%B8%85%E7%85%A7,昌乐（1121年，38岁，作品：1）；1121年，秋，清照赴莱州途径昌乐，有词寄姊妹,B,approved
李清照,醉花阴·薄雾浓云愁永昼,宋,1108,1108,益都（青州）,山东省青州市,山东省,118.479636,36.6846,cnkgraph 唐宋文学编年地图·李清照年历（据徐培均《李清照年谱》）,https://cnkgraph.com/Map/PoetLife?author=%E6%9D%8E%E6%B8%85%E7%85%A7,益都（1108年 - 1121年，25-38岁，作品：13）；1108年9月9日，赵明诚游仰天山，清照有词思之，作品：《醉花阴》,B,approved
苏轼,临江仙·夜归临皋,宋,1082,1082,黄州临皋亭,黄冈市,湖北省,114.878872,30.459422,古籍文献知识图谱开放API（据《苏轼全集校注》）,https://open.cnkgraph.com/api/Writing/352105,API年谱条目标注1082年九月在黄冈夜归临皋作词。,B,approved
苏轼,卜算子·黄州定慧院寓居作,宋,1080,1080,黄州定慧院,黄冈市,湖北省,114.878872,30.459422,古籍文献知识图谱开放API（据孔凡礼《三苏年谱》）,https://open.cnkgraph.com/api/Writing/352114,API年谱条目标注1080年任黄州团练副使期间在黄冈作此词。,B,approved
苏轼,定风波·莫听穿林打叶声,宋,1082,1082,黄州沙湖道中,黄冈市,湖北省,114.878872,30.459422,古籍文献知识图谱开放API（据孔凡礼《三苏年谱》及作品序）,https://open.cnkgraph.com/api/Writing/352093,API年谱条目与词序共同标注1082年三月七日往沙湖途中遇雨而作。,A,approved
苏轼,念奴娇·赤壁怀古,宋,1082,1082,黄州赤壁,黄冈市,湖北省,114.878872,30.459422,古籍文献知识图谱开放API（据孔凡礼《三苏年谱》与《苏轼全集校注》）,https://open.cnkgraph.com/api/Writing/352102,API年谱条目标注1082年七月在黄冈赤壁怀古作词。,B,approved
苏轼,望江南·超然台作,宋,1076,1076,密州超然台,潍坊市诸城市,山东省,119.416435,36.004748,古籍文献知识图谱开放API（据孔凡礼《三苏年谱》）,https://open.cnkgraph.com/api/Writing/352026,API年谱条目标注1076年寒食后登诸城超然台作词。,B,approved
苏轼,水调歌头·明月几时有,宋,1076,1076,密州超然台,潍坊市诸城市,山东省,119.416435,36.004748,古籍文献知识图谱开放API（据孔凡礼《三苏年谱》）,https://open.cnkgraph.com/api/Writing/352030,API年谱条目标注1076年八月十五日在诸城超然台饮酒并作词怀子由。,B,approved
苏轼,浣溪沙·游蕲水清泉寺,宋,1082,1082,蕲水清泉寺,黄冈市,湖北省,115.265,30.452,古籍文献知识图谱开放API（据孔凡礼《三苏年谱》）,https://open.cnkgraph.com/api/Writing/352094,API年谱条目标注1082年至蕲水与庞安时游清泉寺作词；坐标采用浠水县展示点。,B,approved
苏轼,赤壁赋,宋,1082,1082,黄州赤壁,黄冈市,湖北省,114.878872,30.459422,古籍文献知识图谱开放API（据孔凡礼《三苏年谱》与《苏轼全集校注》）,https://open.cnkgraph.com/api/Writing/1185969,API年谱条目标注1082年七月十八日在黄冈泛舟赤壁并作前《赤壁赋》。,B,approved
苏轼,题西林壁,宋,1084,1084,庐山西林寺,九江市,江西省,116.007993,29.711328,古籍文献知识图谱开放API（据孔凡礼《三苏年谱》）,https://open.cnkgraph.com/api/Writing/135392,API年谱条目标注1084年赴汝州途中往来庐山并题西林壁。,B,approved
苏轼,饮湖上初晴后雨,宋,1073,1073,钱塘西湖,杭州市,浙江省,120.139058,30.251772,古籍文献知识图谱开放API（据《苏轼全集校注》）,https://open.cnkgraph.com/api/Writing/134580,API年谱条目标注1073年任杭州通判时饮湖上遇初晴后雨作诗二首；当前语料收录代表篇。,B,approved
陆游,临安春雨初霁,宋,1186,1186,临安,杭州市,浙江省,120.136699,30.265924,古籍文献知识图谱开放API（据钱仲联《剑南诗稿校注》）,https://open.cnkgraph.com/api/Writing/147962,API年谱条目标注1186年赴严州任前在临安作诗。,B,approved
陆游,书愤,宋,1186,1186,山阴,绍兴市,浙江省,120.588427,29.9952,古籍文献知识图谱开放API（据于北山《陆游年谱》与《剑南诗稿校注》）,https://open.cnkgraph.com/api/Writing/145900,当前语料所收为早岁那知世事艰篇；API年谱条目标注1186年三月在山阴作。,B,approved
陆游,关山月,宋,1177,1177,成都,成都市,四川省,104.069363,30.680959,古籍文献知识图谱开放API（据钱仲联《剑南诗稿校注》）,https://open.cnkgraph.com/api/Writing/150574,API年谱条目标注1177年一月免官后居成都时作诗。,B,approved
陆游,剑门道中遇微雨,宋,1172,1172,剑门,广元市剑阁县,四川省,105.531838,32.294266,古籍文献知识图谱开放API（据钱仲联《剑南诗稿校注》）,https://open.cnkgraph.com/api/Writing/144403,API年谱条目标注1172年十一月自南郑赴成都途中经剑门作诗。,B,approved
陆游,十一月四日风雨大作二首,宋,1192,1192,山阴,绍兴市,浙江省,120.588427,29.9952,古籍文献知识图谱开放API（据于北山《陆游年谱》与《剑南诗稿校注》）,https://open.cnkgraph.com/api/Writing/143330,API年谱条目标注1192年十一月四日在山阴作二首，当前语料按组诗标题收录。,B,approved
陆游,游山西村,宋,1167,1167,山阴山西村,绍兴市,浙江省,120.588427,29.9952,古籍文献知识图谱开放API（据钱仲联《剑南诗稿校注》）,https://open.cnkgraph.com/api/Writing/149430,API年谱条目标注1167年乡居故里时作诗；月份为研究者姑系，不用于本项目年度统计。,B,approved
陆游,示儿,宋,1209,1209,山阴,绍兴市,浙江省,120.588427,29.9952,古籍文献知识图谱开放API（据于北山《陆游年谱》与《剑南诗稿校注》）,https://open.cnkgraph.com/api/Writing/143682,当前语料所收为死去元知万事空篇；API年谱条目标注1209年十二月二十九日临终作。,B,approved
陆游,金错刀行,宋,1173,1173,嘉州,乐山市,四川省,103.767758,29.561307,古籍文献知识图谱开放API（据钱仲联《剑南诗稿校注》）,https://open.cnkgraph.com/api/Writing/151228,API年谱条目标注1173年十月在嘉州任上作诗。,B,approved
